# Karancho
000000000;1346086945;0;MVARIO; 
000000000;1346086945;1;Vario;m/s
000000000;1346086945;2;Abs. altit;m
000000000;1346086945;3;Rel. altit;m
000000000;1346086945;4;Air press.;hPa
000000000;1346086945;5;Temp.;°C
000000000;1426827393;0;MT-125; 
000000000;1426827393;1;Temp. A;°C
000000000;1426827393;2;Temp. B;°C
1275063230;1346086945;3;1;1;1159
1275063230;1346086945;4;4;2;95155
1275063230;1346086945;5;1;1;255
1275063440;1346086945;1;1;1;11
1275063440;1346086945;2;1;1;3956
1275063440;1346086945;3;1;1;1162
1275063442;1346086945;4;4;2;95152
1275063442;1346086945;5;1;1;255
1275063655;1346086945;1;1;1;4
1275063655;1346086945;2;1;1;3957
1275063656;1346086945;3;1;1;1163
1275063656;1346086945;4;4;2;95151
1275063656;1346086945;5;1;1;255
1275064031;1346086945;1;1;1;4
1275064031;1346086945;2;1;1;3958
1275064031;1346086945;3;1;1;1164
1275064031;1346086945;4;4;2;95149
1275064031;1346086945;5;1;1;255
1275064267;1346086945;1;1;1;5
1275064267;1346086945;2;1;1;3958
1275064267;1346086945;3;1;1;1164
1275064267;1346086945;4;4;2;95149
1275064268;1346086945;5;1;1;255
1275064430;1346086945;1;1;1;5
1275064430;1346086945;2;1;1;3957
1275064430;1346086945;3;1;1;1163
1275064430;1346086945;4;4;2;95151
1275064430;1346086945;5;1;1;255
1275064636;1346086945;1;1;1;5
1275064636;1346086945;2;1;1;3955
1275064636;1346086945;3;1;1;1161
1275064637;1346086945;4;4;2;95153
1275064637;1346086945;5;1;1;255
1275064856;1346086945;1;1;1;4294967292
1275064856;1346086945;2;1;1;3952
1275064856;1346086945;3;1;1;1158
1275064856;1346086945;4;4;2;95156
1275064858;1346086945;5;1;1;255
1275065032;1346086945;1;1;1;4294967292
1275065032;1346086945;2;1;1;3949
1275065032;1346086945;3;1;1;1155
1275065032;1346086945;4;4;2;95160
1275065032;1346086945;5;1;1;255
1275065232;1346086945;1;1;1;4294967292
1275065232;1346086945;2;1;1;3944
1275065232;1346086945;3;1;1;1150
1275065232;1346086945;4;4;2;95165
1275065232;1346086945;5;1;1;255
1275065464;1346086945;1;1;1;4294967281
1275065464;1346086945;2;1;1;3939
1275065464;1346086945;3;1;1;1145
1275065464;1346086945;4;4;2;95171
1275065466;1346086945;5;1;1;255
1275065630;1346086945;1;1;1;4294967281
1275065630;1346086945;2;1;1;3934
1275065630;1346086945;3;1;1;1140
1275065630;1346086945;4;4;2;95177
1275065630;1346086945;5;1;1;255
1275065834;1346086945;1;1;1;4294967281
1275065834;1346086945;2;1;1;3927
1275065834;1346086945;3;1;1;1133
1275065834;1346086945;4;4;2;95185
1275065835;1346086945;5;1;1;255
1275066232;1346086945;1;1;1;4294967283
1275066232;1346086945;2;1;1;3913
1275066232;1346086945;3;1;1;1119
1275066232;1346086945;4;4;2;95201
1275066234;1346086945;5;1;1;255
1275066432;1346086945;1;1;1;4294967283
1275066432;1346086945;2;1;1;3907
1275066432;1346086945;3;1;1;1113
1275066432;1346086945;4;4;2;95208
1275066432;1346086945;5;1;1;255
1275066662;1346086945;1;1;1;4294967263
1275066663;1346086945;2;1;1;3901
1275066663;1346086945;3;1;1;1107
1275066663;1346086945;4;4;2;95214
1275066663;1346086945;5;1;1;255
1275066830;1346086945;1;1;1;4294967263
1275066830;1346086945;2;1;1;3897
1275066830;1346086945;3;1;1;1103
1275066830;1346086945;4;4;2;95219
1275066831;1346086945;5;1;1;255
1275067030;1346086945;1;1;1;4294967263
1275067031;1346086945;2;1;1;3893
1275067031;1346086945;3;1;1;1099
1275067031;1346086945;4;4;2;95224
1275067031;1346086945;5;1;1;255
1275069230;1346086945;1;1;1;13
1275069230;1346086945;2;1;1;3906
1275069230;1346086945;3;1;1;1112
1275069230;1346086945;4;4;2;95209
1275069230;1346086945;5;1;1;255
1275069430;1346086945;1;1;1;13
1275069430;1346086945;2;1;1;3909
1275069430;1346086945;3;1;1;1115
1275069430;1346086945;4;4;2;95205
1275069430;1346086945;5;1;1;255
1275069832;1346086945;1;1;1;11
1275069832;1346086945;2;1;1;3916
1275069832;1346086945;3;1;1;1122
1275069832;1346086945;4;4;2;95197
1275069832;1346086945;5;1;1;255
1275070430;1346086945;1;1;1;3
1275070430;1346086945;2;1;1;3926
1275070430;1346086945;3;1;1;1132
1275070430;1346086945;4;4;2;95186
1275070430;1346086945;5;1;1;255
1275070630;1346086945;1;1;1;9
1275070630;1346086945;2;1;1;3929
1275070630;1346086945;3;1;1;1135
1275070630;1346086945;4;4;2;95183
1275070630;1346086945;5;1;1;255
1275070863;1346086945;1;1;1;9
1275070863;1346086945;2;1;1;3929
1275070863;1346086945;3;1;1;1135
1275070863;1346086945;4;4;2;95182
1275070863;1346086945;5;1;1;255
1275071032;1346086945;1;1;1;9
1275071032;1346086945;2;1;1;3931
1275071032;1346086945;3;1;1;1137
